,artist,album,track_title,track_n,lyric,line,year,keywords,sadness,joy,fear,disgust,anger
0,Taylor Swift,Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,1,2006,blue eyes,0.243374,0.557082,0.135214,0.022686,0.07231699999999999
1,Taylor Swift,Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,2,2006,Georgia stars,0.540968,0.052114,0.035410000000000004,0.486941,0.155971
2,Taylor Swift,Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",3,2006,lie,0.461632,0.00948,0.094115,0.291655,0.487285
3,Taylor Swift,Taylor Swift,Tim McGraw,1,Just a boy in a Chevy truck,4,2006,Chevy truck,0.255151,0.050132,0.028087,0.066356,0.19773
4,Taylor Swift,Taylor Swift,Tim McGraw,1,That had a tendency of gettin' stuck,5,2006,tendency of gettin,0.319383,0.072028,0.190075,0.117177,0.253593
5,Taylor Swift,Taylor Swift,Tim McGraw,1,On backroads at night,6,2006,night,0.069345,0.558293,0.247315,0.026457,0.029363
6,Taylor Swift,Taylor Swift,Tim McGraw,1,And I was right there beside him all summer long,7,2006,summer,0.15604300000000002,0.561902,0.060532,0.02136,0.031629000000000004
7,Taylor Swift,Taylor Swift,Tim McGraw,1,And then the time we woke up to find that summer gone,8,2006,time,0.249763,0.482274,0.216864,0.013911,0.094951
8,Taylor Swift,Taylor Swift,Tim McGraw,1,But when you think Tim McGraw,9,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
9,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think my favorite song,10,2006,favorite song,0.068752,0.8212709999999999,0.059684,0.019891,0.011337
10,Taylor Swift,Taylor Swift,Tim McGraw,1,The one we danced to all night long,11,2006,night,0.09386599999999999,0.742847,0.079075,0.015705,0.016097999999999998
11,Taylor Swift,Taylor Swift,Tim McGraw,1,The moon like a spotlight on the lake,12,2006,moon,0.093989,0.428947,0.060946,0.094849,0.021731
12,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think happiness,13,2006,happiness,0.012808000000000002,0.9154260000000001,0.005917,0.005274,0.004779
13,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think that little black dress,14,2006,little black dress,0.197724,0.23893899999999998,0.308208,0.218707,0.14857
14,Taylor Swift,Taylor Swift,Tim McGraw,1,Think of my head on your chest,15,2006,head,0.194075,0.024176,0.710989,0.061442,0.06347699999999999
15,Taylor Swift,Taylor Swift,Tim McGraw,1,And my old faded blue jeans,16,2006,blue jeans,0.705317,0.084353,0.097523,0.004952000000000001,0.258886
16,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,17,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
17,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think of me,18,2006,,0.147764,0.15769,0.32663200000000003,0.208567,0.044511
18,Taylor Swift,Taylor Swift,Tim McGraw,1,September saw a month of tears,19,2006,September,0.788343,0.054883,0.050577,0.16305899999999998,0.10446099999999996
19,Taylor Swift,Taylor Swift,Tim McGraw,1,And thankin' God that you weren't here,20,2006,thankin' God,0.149516,0.6411479999999999,0.12346300000000004,0.065463,0.08616599999999999
20,Taylor Swift,Taylor Swift,Tim McGraw,1,To see me like that,21,2006,,0.12523800000000002,0.374451,0.070142,0.114356,0.068401
21,Taylor Swift,Taylor Swift,Tim McGraw,1,But in a box beneath my bed,22,2006,box,0.175704,0.452436,0.10496,0.045562,0.06464500000000001
22,Taylor Swift,Taylor Swift,Tim McGraw,1,Is a letter that you never read,23,2006,letter,0.345434,0.119749,0.262009,0.037147,0.051865
23,Taylor Swift,Taylor Swift,Tim McGraw,1,From three summers back,24,2006,summers,0.213929,0.494318,0.084155,0.018557,0.088561
24,Taylor Swift,Taylor Swift,Tim McGraw,1,It's hard not to find it all a little bittersweet,25,2006,little bittersweet,0.148831,0.179551,0.091248,0.074744,0.088473
25,Taylor Swift,Taylor Swift,Tim McGraw,1,"And lookin' back on all of that, it's nice to believe",26,2006,lookin,0.077473,0.777085,0.021789,0.016616,0.043944
26,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,27,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
27,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think my favorite song,28,2006,favorite song,0.068752,0.8212709999999999,0.059684,0.019891,0.011337
28,Taylor Swift,Taylor Swift,Tim McGraw,1,The one we danced to all night long,29,2006,night,0.093866,0.742847,0.079075,0.015705,0.016097999999999998
29,Taylor Swift,Taylor Swift,Tim McGraw,1,The moon like a spotlight on the lake,30,2006,moon,0.093989,0.428947,0.060946,0.094849,0.021731
30,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think happiness,31,2006,happiness,0.012808000000000002,0.9154260000000001,0.005917,0.005274,0.004779
31,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think that little black dress,32,2006,little black dress,0.197724,0.23893899999999998,0.308208,0.218707,0.14857
32,Taylor Swift,Taylor Swift,Tim McGraw,1,Think of my head on your chest,33,2006,head,0.194075,0.024176,0.710989,0.061442,0.06347699999999999
33,Taylor Swift,Taylor Swift,Tim McGraw,1,And my old faded blue jeans,34,2006,blue jeans,0.705317,0.084353,0.097523,0.004952000000000001,0.258886
34,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,35,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
35,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think of me,36,2006,,0.147764,0.15769,0.32663200000000003,0.208567,0.044511
36,Taylor Swift,Taylor Swift,Tim McGraw,1,And I'm back for the first time since then,37,2006,first time,0.469584,0.310028,0.102934,0.063223,0.074516
37,Taylor Swift,Taylor Swift,Tim McGraw,1,I'm standin' on your street,38,2006,street,0.14892,0.086979,0.316092,0.071663,0.18149500000000002
38,Taylor Swift,Taylor Swift,Tim McGraw,1,And there's a letter left on your doorstep,39,2006,letter,0.650483,0.032748,0.244981,0.062273,0.10630799999999999
39,Taylor Swift,Taylor Swift,Tim McGraw,1,And the first thing that you'll read is:,40,2006,first thing,0.152168,0.581631,0.12369000000000001,0.083491,0.055452999999999995
40,Taylor Swift,Taylor Swift,Tim McGraw,1,"""When you think Tim McGraw",41,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
41,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think my favorite song,42,2006,favorite song,0.068752,0.8212709999999999,0.059684,0.019891,0.011337
42,Taylor Swift,Taylor Swift,Tim McGraw,1,Someday you'll turn your radio on,43,2006,radio,0.150821,0.327453,0.09618,0.072837,0.11710799999999999
43,Taylor Swift,Taylor Swift,Tim McGraw,1,"I hope it takes you back to that place""",44,2006,place,0.24812399999999998,0.32140599999999997,0.170242,0.212937,0.073979
44,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think happiness,45,2006,happiness,0.012808000000000002,0.9154260000000001,0.005917,0.005274,0.004779
45,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think that little black dress,46,2006,little black dress,0.197724,0.23893899999999998,0.308208,0.218707,0.14857
46,Taylor Swift,Taylor Swift,Tim McGraw,1,Think of my head on your chest,47,2006,head,0.194075,0.024176,0.710989,0.061442,0.06347699999999999
47,Taylor Swift,Taylor Swift,Tim McGraw,1,And my old faded blue jeans,48,2006,blue jeans,0.705317,0.084353,0.097523,0.004952000000000001,0.258886
48,Taylor Swift,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,49,2006,Tim McGraw,0.176794,0.208892,0.117157,0.196605,0.085889
49,Taylor Swift,Taylor Swift,Tim McGraw,1,I hope you think of me,50,2006,,0.147764,0.15769,0.32663200000000003,0.208567,0.044511
50,Taylor Swift,Taylor Swift,Tim McGraw,1,"Oh, think of me",51,2006,,0.248365,0.082086,0.41910200000000003,0.06167,0.12958599999999998
51,Taylor Swift,Taylor Swift,Tim McGraw,1,Mmmm,52,2006,Mmmm,0,0,0,0,0
52,Taylor Swift,Taylor Swift,Tim McGraw,1,He said the way my blue eyes shine,53,2006,blue eyes shine,0.354134,0.524798,0.033489,0.016365,0.035738
53,Taylor Swift,Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,54,2006,Georgia stars,0.540968,0.052114,0.035410000000000004,0.486941,0.155971
54,Taylor Swift,Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",55,2006,lie,0.461632,0.00948,0.094115,0.291655,0.487285
55,Taylor Swift,Taylor Swift,Picture To Burn,2,"State the obvious, I didn't get my perfect fantasy",1,2006,perfect fantasy,0.22194899999999998,0.6352899999999999,0.040752,0.005071,0.146368
56,Taylor Swift,Taylor Swift,Picture To Burn,2,I realize you love yourself more than you could ever love me,2,2006,,0.123028,0.837533,0.016307,0.010740000000000001,0.01097
57,Taylor Swift,Taylor Swift,Picture To Burn,2,So go and tell your friends that I'm obsessive and crazy,3,2006,friends,0.171443,0.343105,0.142395,0.037351,0.379779
58,Taylor Swift,Taylor Swift,Picture To Burn,2,"That's fine, I'll tell mine that you're gay",4,2006,,0.304352,0.181659,0.083973,0.208774,0.35184499999999996
59,Taylor Swift,Taylor Swift,Picture To Burn,2,By the way,5,2006,way,0,0,0,0,0
60,Taylor Swift,Taylor Swift,Picture To Burn,2,I hate that stupid old pickup truck,6,2006,stupid old pickup truck,0.294969,0.000579,0.07348500000000001,0.21090599999999998,0.725288
61,Taylor Swift,Taylor Swift,Picture To Burn,2,You never let me drive,7,2006,,0.048399,0.144229,0.152517,0.051326,0.292894
62,Taylor Swift,Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,8,2006,redneck heartbreak,0.723086,0.073729,0.101122,0.029629000000000006,0.061123000000000004
63,Taylor Swift,Taylor Swift,Picture To Burn,2,Who's really bad at lying,9,2006,,0.571693,0.005587,0.15301199999999998,0.20865799999999998,0.427353
64,Taylor Swift,Taylor Swift,Picture To Burn,2,So watch me strike a match,10,2006,match,0.27519099999999996,0.198456,0.285193,0.184015,0.164123
65,Taylor Swift,Taylor Swift,Picture To Burn,2,On all my wasted time,11,2006,time,0.194196,0.02684,0.11071900000000001,0.111257,0.760145
66,Taylor Swift,Taylor Swift,Picture To Burn,2,As far as I'm concerned you're,12,2006,,0.057352999999999994,0.050876,0.48127,0.07184600000000001,0.240148
67,Taylor Swift,Taylor Swift,Picture To Burn,2,Just another picture to burn,13,2006,picture,0.397876,0.042363,0.377267,0.222306,0.313913
68,Taylor Swift,Taylor Swift,Picture To Burn,2,There's no time for tears,14,2006,tears,0.884179,0.008775,0.065075,0.073724,0.173934
